facility_type,distinct_exact_labels,components_represented,source_version
HWC-SC,396,20,Revised HMIS formats effective April 2025
HWC-PHC,568,21,Revised HMIS formats effective April 2025
CHC,578,21,Revised HMIS formats effective April 2025
Civil Hospital / SDH,595,21,Revised HMIS formats effective April 2025
District Hospital,599,21,Revised HMIS formats effective April 2025
Medical College,551,18,Revised HMIS formats effective April 2025
Block Headquarters,49,8,Revised HMIS formats effective April 2025
District Headquarters,27,8,Revised HMIS formats effective April 2025
