id,objectType,name,definition,component,domain,versionStatus,sourceVersion,sourceAuthority,sourceUrl,measureType,scaleDisplay,normalizedFormula,denominatorPopulation,displayDefinition
"","Derived indicator","Institutional delivery Rate","% of deliveries conducted at public and private institution/facility","Delivery and intrapartum care","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated deliveries","% of deliveries conducted at public and private institution/facility. Denominator population: Estimated deliveries."
"","Derived indicator","Home Delivery Rate","% of deliveries conducted at home","Delivery and intrapartum care","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated deliveries","% of deliveries conducted at home. Denominator population: Estimated deliveries."
"","Derived indicator","Skilled Birth Attendant (SBA) Delivery Rate","Proportion of total deliveries assisted by a Skilled Birth Attendant (at home and at institutions)","Delivery and intrapartum care","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total reported deliveries","Proportion of total deliveries assisted by a Skilled Birth Attendant (at home and at institutions). Denominator population: Total reported deliveries."
"","Derived indicator","Caesarean section rate","Proportion of C- section deliveries out of total reported institutional deliveries.","Delivery and intrapartum care","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total institutional deliveries (Caesarean section + Normal delivery)","Proportion of C- section deliveries out of total reported institutional deliveries. Denominator population: Total institutional deliveries (Caesarean section + Normal delivery)."
"","Derived indicator","PNC (within 48hrs) rate","% of women who received post natal care checkup done within 48 hrs of delivery","Delivery and intrapartum care","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Reported deliveries (Institutional + Home)","% of women who received post natal care checkup done within 48 hrs of delivery. Denominator population: Reported deliveries (Institutional + Home)."
"","Derived indicator","PNC (between 48hrs & 14 days)rate","% of women who received post natal care checkup done between 48 hrs and 14 days of delivery","Delivery and intrapartum care","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Reported deliveries (Institutional + Home)","% of women who received post natal care checkup done between 48 hrs and 14 days of delivery. Denominator population: Reported deliveries (Institutional + Home)."
"","Derived indicator","Contraceptive prevalence Rate (all methods)","Proportion of eligible couples using family planningmethod.","Family planning","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Number of eligible couples","Proportion of eligible couples using family planningmethod. Denominator population: Number of eligible couples."
"","Derived indicator","Sterilization coverage rate","Coverage contribution of sterilization to overall family planningmethod","Family planning","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","","Not specified","Numerator ÷ denominator; multiplier not stated","Not supplied in registry metadata; consult the authoritative source","Coverage contribution of sterilization to overall family planningmethod. Denominator population: Not supplied in registry metadata; consult the authoritative source."
"","Derived indicator","IUD","Coverage contribution of IUD to overall family planningmethod","Family planning","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","","Not specified","Numerator ÷ denominator; multiplier not stated","Not supplied in registry metadata; consult the authoritative source","Coverage contribution of IUD to overall family planningmethod. Denominator population: Not supplied in registry metadata; consult the authoritative source."
"","Derived indicator","OCP","Coverage contribution of OCP to overall family planningmethod -","Family planning","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","eligible couples","Coverage contribution of OCP to overall family planningmethod -. Denominator population: eligible couples."
