indicator,definition,numerator,denominator,multiplying_factor,suggested_level,periodicity,source_page,source_table,source_version
Sex ratio at birth,Number of females born per 1000 males born in a give time period,Live Births females,Live Births males,1000,"National, State and District","Quarterly, annual",35,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Low birth weight rate,"Percentage of live born infants with a Birth weight under 2,500 grams",Live births with a birth weight < 2500g.,Live births weighed,100,"National, State and District","Quarterly, annual",35,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Neonatal mortality rate,"Neonatal mortality rate (NNMR) measures the number of live-born babies dying within 28 completed days of life per 1,000 live births.",Deaths in first 28 days,Live births,1000,,"Annual, semiannual",37,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Infant Death rate(IDR),"Infant Death rate (IDR) measures the number of deaths of infants under one year of age per 1,000 live births",Deaths of infants less than one year old (Neonatal death plus deaths in 1-12 months),live births,1000,"National, state and district. Below district even the data element by itself provides actionable information","Annual, semiannual",38,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Under 5 Mortality Rate,Under-five mortality rate measures the number of children who die before their fifth birthday per 1000 live births,Deaths Neonatal + Deaths infant + Deaths 1-5 years,live births,1000,"National, state and district. Below district even the data element by itself provides actionable information","Annual, semiannual",40,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Peri Natal Mortality Rate (PNMR),Peri-natal deaths comprise still births (gestation over 228 weeks / >1000 grams weight) plus early neonatal deaths (infants dying within 7 days).,Deaths Peri- natal (still births plus early neonatal in first week),Live Births.,1000,"National and below. Calculate and make predictive trend analysis only when we have at least 3,000 births, otherwise fluctuations will be too high.","Annual, semiannual",41,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Still birth rate,,Total no. of still births,Total births (Live birth + Still birth),,,,41,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Maternal Mortality Ratio,"The death of a woman while pregnant or within 42 days of delivery or termination of pregnancy, irrespective of the duration and site of the pregnancy, from any cause related to or aggravated by the pregnancy or its management but not from accidental causes.",Deaths Maternal,Number of live births,"1,00,000","National, State and District. Below District even the data element by itself provides actionable information","Annual, semiannu al",43,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
ANC Moderately anaemic rate(Hb<11g m),Percentage of pregnant women tested to be moderately anaemic (Hb level <11g),"Pregnant women having tested for anaemia ,Hb<11g",Total ANC registered,100,"State, District, & Block","Quarterly, annual",45,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
ANC hypertension new case detection rate,Percentage of pregnant women detected with hypertension/ high blood pressure (BP>140/90),Pregnant women detected BP>140/90,Total ANC registered,100,"State, District, & Block","Quarterly, annual",45,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
