ogd_code,published_label,object_class,exact_label_present_in_april_2025_forms,source_period,source_resource,currentness
41,Women received 1st post partum check up between 48 hours and 14 days,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
42,% Women getting 1st post partum check-up within 48 hours of home delivery to Total Reported Home Deliveries,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
43,% Women getting 1st Post Partum Checkup between 48 hours and 14 days to Total Reported Deliveries,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
44,Estimated Number of Annual Live Births ##,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
45,Total Number of reported live births,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
46,% Live Births to Estimated Annual Live Births,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
47,% Live Births to Total Deliveries,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
48,Total Number of reported Still Births,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
49,% live birth to Reported Birth,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
50,Number of Newborns weighed at birth,Published aggregate/count,Yes,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
51,% Newborns weighed at birth to live birth,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
52,Number of Newborns having weight less than 2.5 kg,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
53,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
54,Number of New Borns Breast Fed within 1 hour,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
55,% Newborns breast fed within 1 hour of birth to Total live birth,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
56,Sex Ratio at birth ( Female Live Births/ Male Live Births *1000),Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
57,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
58,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
59,Number of PW given 360 Calcium tablets,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
60,% Pregnant women given 360 Calcium to Total ANC Registration,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
61,Number of PW given one Albendazole tablet after 1st trimester,Published aggregate/count,Yes,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
62,% Pregnant women given one Albendazole tablet after 1st trimester to Total ANC Registration,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
63,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),Published aggregate/count,Yes,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
64,% Pregnant women tested for blood sugar using OGTT to Total ANC Registration,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
65,Number of PW tested positive for GDM,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
66,% Pregnant women tested positive for GDM to Total ANC Registration,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
67,Number of pregnant women tested for Syphilis,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
68,Number of pregnant women tested found sero positive for Syphilis,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
69,% Pregnant women tested for Syphilis to Total ANC Registration,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
70,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
71,% of babies treated for congenital Syphilis to babies total diagnosed with Congenital Syphilis,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
72,Total no. maternal deaths,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
73,Total Facility Based Maternal Death Reviews (FBMDR) done,Published aggregate/count,Yes,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
74,Total Number of Abortions ( Spontaneous) Reported,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
75,Total Number of MTPs ( Public) conducted,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
76,% MTPs to total Abortions,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
77,% MTPs up to 12 weeks of Pregnancy to Total MTPs at Public Institutions,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
78,% MTPs more than 12 weeks of Pregnancy to Total MTPs at Public Institutions,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
79,% MTPs Conducted at Public Institutions to Total MTPs,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
80,% MTPs Conducted at Private Institutions to Total MTPs,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
81,% Total MTPs (Public) Conducted to Total ANC Registration,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
82,Number of Vasectomies Conducted,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
83,Number of Tubectomies Conducted,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
84,Total Sterilisation Conducted,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
85,% Male Sterlisation (Vasectomies) to Total sterilisation,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
86,% Female Serlisation (Tubectomies) to Total sterilisation,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
87,Total Sterlisation (Tubectomies and Vasectomies) conducted at PHC,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
88,Total Sterlisation (Tubectomies and Vasectomies) conducted at CHC,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
89,Total Sterlisation (Tubectomies and Vasectomies) conducted at SDH,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
90,Total Sterlisation (Tubectomies and Vasectomies) conducted at DH,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
91,Total Sterlisation (Tubectomies and Vasectomies) conducted at Private institutions,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
92,Total Sterlisation (Tubectomies and Vasectomies) conducted at Public institutions,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
93,% Total Sterilisation (Tubectomies and Vasectomies) conducted at Private institutions to Total Sterlisation,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
94,% Total Sterilisation (Tubectomies and Vasectomies) conducted at Public institutions to Total Sterlisation,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
95,% Laparoscopic sterlisations to Total Female Sterilisations,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
96,% Mini Lap Sterlisations to Total Female Sterilisations,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
