legacy_item_code_as_published,normalized_item_code,parameter_label,reported_types,geographies_observed,resource_rows,source_period,currentness
'10.8',10.8,Childhood Diseases - Acute Flaccid Paralysis(AFP),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'10.9',10.9,Childhood Diseases - Measles,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'11.1.1.a',11.1.1.a,Total Blood Smears Examined for Malaria,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'11.1.1.b',11.1.1.b,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'11.1.1.c',11.1.1.c,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'11.1.2.a',11.1.2.a,RDT conducted for Malaria,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'11.1.2.b',11.1.2.b,Malaria (RDT) - Plasmodium Vivax test positive,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'11.1.2.c',11.1.2.c,Malaria (RDT) - Plamodium Falciparum test positive,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'11.2.1',11.2.1,Kala Azar (RDT) - Tests Conducted,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'11.2.2',11.2.2,Kala Azar Positive Cases,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'11.2.3',11.2.3,Post-kala-azar dermal leishmaniasis (PKDL) cases,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'11.3.1',11.3.1,Dengue - RDT Test Positive,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'11.3.2',11.3.2,Dengue - Enzyme- Linked Immuno Sorbent Assay (ELISA) Test Positive,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'11.4.1',11.4.1,Tests Conducted for JE,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'11.4.2',11.4.2,Tests Positive for JE,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'12.1.1.a',12.1.1.a,Girls registered in AFHC,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'12.1.1.b',12.1.1.b,Boys registered in AFHC,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'12.1.2.a',12.1.2.a,"Out of registered, Girls received clinical services",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'12.1.2.b',12.1.2.b,"Out of registered, Boys received clinical services",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'12.1.3.a',12.1.3.a,"Out of registered, Girls received counselling",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'12.1.3.b',12.1.3.b,"Out of registered, Boys received counselling",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'13.1',13.1,Number of on-going DOTS patients registered,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'13.2',13.2,Number of DOTS cases completed successfully,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.1.1',14.1.1,Outpatient - Diabetes,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.1.2',14.1.2,Outpatient - Hypertension,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.1.3',14.1.3,Outpatient - Stroke (Paralysis),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.1.4',14.1.4,Outpatient - Acute Heart Diseases,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.1.5',14.1.5,Outpatient - Mental illness,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.1.6',14.1.6,Outpatient - Epilepsy,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.1.7',14.1.7,Outpatient - Ophthalmic Related,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.1.8',14.1.8,Outpatient - Dental,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.1.9',14.1.9,Outpatient - Oncology,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
