legacy_item_code_as_published,normalized_item_code,parameter_label,reported_types,geographies_observed,resource_rows,source_period,currentness
'18.6',18.6,Centchroman weekly pills,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'18.7',18.7,Injectable Contraceptive MPA (Vials),1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'18.8',18.8,Tubal rings,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'18.9',18.9,Pregnancy testing Kits (Nischay Kits),1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.1',19.1,Gloves,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.10',19.10,Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.11',19.11,Vit A syrup,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.12',19.12,ORS (New WHO),1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.13',19.13,RTI /STI colour coded syndromic kits ( I to VII),1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.14',19.14,Zinc 20 mg tablet,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.15',19.15,Albendazole 400 mg tablet,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.16',19.16,Calcium Tablets,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.2',19.2,MVA Syringes,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.3',19.3,Tab. Fluconazole,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.4',19.4,Blood Transfusion sets,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.5',19.5,Gluteraldehyde 2%,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.6',19.6,IFA tablets ( Adult),1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.7',19.7,IFA - Blue ( Adolescent 10-19 yrs),1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.8',19.8,IFA- Pink ( Junior 6-10 yrs),1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'19.9',19.9,IFA Syrup (Paediatric),1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'2.1.1.a',2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'2.1.1.b',2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'2.1.2',2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'2.1.3',2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'2.2',2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'2.2.1',2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'2.2.2',2.2.2,Number of newborns received 6 HBNC� visits after Institutional Delivery,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'20.1',20.1,Syringes - 0.1 ml (AD),1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'20.2',20.2,Syringes - 0.5 ml (AD),1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'20.3',20.3,Syringes - 5.0 ml (Disposable),1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'21.1',21.1,Number of newborn screened for defects at birth (as per RBSK),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'21.2',21.2,Number of children (6 month to 6 years) screened by RBSK mobile health teams at Anganwadi center,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'21.3',21.3,Number of children (6 years to 18 years) screened by RBSK mobile health teams at Govt and Govt aided schools,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'21.4.1.a',21.4.1.a,Number of Male children identified with Disease,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'21.4.1.b',21.4.1.b,Number of Female children identified with Disease,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'21.4.2.a',21.4.2.a,Number of Male children identified with Deficiency,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'21.4.2.b',21.4.2.b,Number of Female children identified with Deficiency,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'21.4.3.a',21.4.3.a,Number of Male children identified with Developmental delay,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'21.4.3.b',21.4.3.b,Number of Female children identified with Developmental delay,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'21.5.1',21.5.1,Number of Children Managed by Intervention - Medical,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'21.5.2',21.5.2,Number of Children Managed by Intervention - Surgical,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'21.5.3',21.5.3,Early intervention at DEIC ( District Early Intervention Centre),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'22.1.1.a',22.1.1.a,Girls (6th -12th class) provided 4 IFA tablets in schools,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'22.1.1.b',22.1.1.b,Boys (6th -12th class) provided 4 IFA tablets in schools,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'22.1.2.a',22.1.2.a,Girls (6th -12th class) provided albendazole in schools,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'22.1.2.b',22.1.2.b,Boys (6th -12th class) provided albendazole in schools,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'22.1.3',22.1.3,Number of out of school adolscent girls (10-19 years) provided 4 IFA tablets at Anganwadi Centres,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'22.1.4',22.1.4,Number of out of school adolscent girls (10-19 years) provided albendazole at Anganwadi Centres,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'22.2.1',22.2.1,Number of adolescent girls provided sanitary napkin packs,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'22.2.2',22.2.2,Number of sanitary napkin packs sold to adolescent girls,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'22.2.3',22.2.3,Number of sanitary napkin packs distributed free to ASHA,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'22.2.4',22.2.4,Number of adolescent girls attended monthly meeting,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'23.1',23.1,Number of children covered under WIFS JUNIOR (6 - 10 years ) provided 4-5 IFA tablets in schools,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'23.2',23.2,Number of children (6 - 10 years) provided albendazole in schools,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'23.3',23.3,Number of out of school children (6-10 years) given 4-5 IFA tablets at Anganwadi Centres,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'23.4',23.4,Number of out of school children (6-10 years) provided albendazole at Anganwadi Centres,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'24.1',24.1,Total Maternal Deaths Reviewed (MDR) by CMO,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'24.2',24.2,Total Maternal Deaths Reviewed (MDR) by DM,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'24.3',24.3,Number of maternal deaths reported through Community based Maternal Death Review (CBMDR),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'25.1.1',25.1.1,Number of Pregnant Women provided - Free Medicines under JSSK,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'25.1.2',25.1.2,Number of Pregnant Women provided - Free Diet under JSSK,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'25.1.3',25.1.3,Number of Pregnant Women provided - Free Diagnostics under JSSK,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'25.1.4',25.1.4,Number of Pregnant Women provided - Free Home to facility transport under JSSK,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'25.1.5',25.1.5,Number of Pregnant Women provided - Interfacility transfers when needed under JSSK,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'25.1.6',25.1.6,Number of Pregnant Women provided - Free Drop Back home under JSSK,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'25.2.1',25.2.1,Number of sick infants provided - Free Medicines under JSSK,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'25.2.2',25.2.2,Number of sick infants provided - Free Diagnostics under JSSK,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'25.2.3',25.2.3,Number of sick infants provided - Free Home to facility transport under JSSK,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'25.2.4',25.2.4,Number of sick infants provided - Interfacility transfers when needed under JSSK,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'25.2.5',25.2.5,Number of sick infants provided - Free Drop Back home under JSSK,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'3.1',3.1,Total C -Section deliveries performed,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'3.1.1',3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'4.1.1.a',4.1.1.a,Live Birth - Male,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'4.1.1.b',4.1.1.b,Live Birth - Female,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'4.1.2',4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'4.1.3',4.1.3,Still Birth,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'4.2',4.2,Abortion (spontaneous),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'4.3.1.a',4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'4.3.1.b',4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'4.3.2.a',4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'4.3.2.b',4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'4.3.3',4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'4.4.1',4.4.1,Number of newborns weighed at birth,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'4.4.2',4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'4.4.3',4.4.3,Number of Newborns breast fed within 1 hour of birth�,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'5.1',5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'5.2',5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'6.1',6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'6.2',6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'6.3',6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'6.4',6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'7.1.1',7.1.1,New RTI/STI cases identified - Male,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'7.1.2',7.1.2,New RTI/STI cases identified - Female,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'7.2.1',7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'7.2.2',7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.1.1',8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.10',8.10,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.11',8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.12',8.12,Number of Combined Oral Pill cycles distributed,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.13',8.13,Number of Condom pieces distributed,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.14',8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.15',8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.16',8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.17.1',8.17.1,Complications following male sterilization,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.17.2',8.17.2,Complications following female sterilization,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.17.3',8.17.3,Failures following male sterilization,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.17.4',8.17.4,Failures following female sterilization,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.17.5',8.17.5,Deaths following male sterilization,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.17.6',8.17.6,Deaths following female sterilization,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.2.1',8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.2.2',8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.2.3',8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.2.4',8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.3',8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.4',8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.5',8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.6',8.6,Number of IUCD Removals,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.7',8.7,Number of complications following IUCD Insertion,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.8',8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'8.9',8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.1',9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.10',9.1.10,Child immunisation - OPV1,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.11',9.1.11,Child immunisation - OPV2,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.12',9.1.12,Child immunisation - OPV3,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.13',9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.14',9.1.14,Child immunisation - Hepatitis-B1,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.15',9.1.15,Child immunisation - Hepatitis-B2,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.16',9.1.16,Child immunisation - Hepatitis-B3,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.17',9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.18',9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.19',9.1.19,Child immunisation - Rotavirus 1,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.2',9.1.2,Child immunisation - BCG,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.20',9.1.20,Child immunisation - Rotavirus 2,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.21',9.1.21,Child immunisation - Rotavirus 3,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.3',9.1.3,Child immunisation - DPT1,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.4',9.1.4,Child immunisation - DPT2,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.5',9.1.5,Child immunisation - DPT3,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.6',9.1.6,Child immunisation - Pentavalent 1,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.7',9.1.7,Child immunisation - Pentavalent 2,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.8',9.1.8,Child immunisation - Pentavalent 3,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.1.9',9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.10',9.10,Number of children (12-59 months) provided Albendazole,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.11',9.11,Number of severely underweight children provided Health Checkup (0-5 yrs),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.2.1',9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.2.2',9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.2.3',9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.2.4.a',9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.2.4.b',9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.3.1',9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.3.2',9.3.2,Child immunisation - Measles-1st dose,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.3.3',9.3.3,Child immunisation - JE 1st dose,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.4.1',9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.4.2',9.4.2,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.4.3',9.4.3,Child immunisation - DPT 1st Booster,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.4.4',9.4.4,Child immunisation - OPV Booster,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.4.5',9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.4.6',9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.5.1',9.5.1,Child immunisation - Typhoid,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.5.2',9.5.2,Children more than 5 years received DPT5 (2nd Booster),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.5.3',9.5.3,Children more than 10 years received TT10,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.5.4',9.5.4,Children more than 16 years received TT16,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.6.1',9.6.1,Number of cases of AEFI - Abscess,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.6.2',9.6.2,Number of cases of AEFI - Death,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.6.3',9.6.3,Number of cases of AEFI - Others,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.7.1',9.7.1,Immunisation sessions planned,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.7.2',9.7.2,Immunisation sessions held,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.7.3',9.7.3,Number of Immunisation sessions where ASHAs were present,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.8.1',9.8.1,Child immunisation - Vitamin A Dose - 1,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.8.2',9.8.2,Child immunisation - Vitamin A Dose - 5,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.8.3',9.8.3,Child immunisation - Vitamin A Dose - 9,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'9.9',9.9,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.1',17.1,Vaccine - DPT,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.10',17.10,Vaccine - Typhoid,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.11',17.11,Vaccine - Vitamin K,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.12',17.12,Rotavirus,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.13',17.13,Inactivated Polio Vaccine,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.14',17.14,Measles Rubella (MR),2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.2',17.2,Vaccine - Pentavalent,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.3',17.3,Vaccine - OPV,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.4',17.4,Vaccine - TT,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.5',17.5,Vaccine - DT,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.6',17.6,Vaccine - BCG,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.7',17.7,Vaccine - Measles,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.8',17.8,Vaccine - JE,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
17.9',17.9,Vaccine - Hepatitis B,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
18.1',18.1,IUD 380 A,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
18.2',18.2,IUD 375 A,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
18.3',18.3,Condoms,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
18.4',18.4,Oral Contraceptive,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
18.5',18.5,Emergency Contraceptive Pills,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
18.6',18.6,Centchroman weekly pills,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
